J,h,val_rmse
0.1,0.1,1.299170970916748
0.1,0.3,1.2968435287475586
0.1,0.5,1.2872687578201294
0.1,0.8,1.2791844606399536
0.1,1.0,1.3481922149658203
0.3,0.1,1.3213573694229126
0.3,0.3,1.3184720277786255
0.3,0.5,1.3186146020889282
0.3,0.8,1.2593765258789062
0.3,1.0,1.367037057876587
0.5,0.1,1.3402891159057617
0.5,0.3,1.3422918319702148
0.5,0.5,1.3506367206573486
0.5,0.8,1.3155920505523682
0.5,1.0,1.3313854932785034
0.8,0.1,1.3222486972808838
0.8,0.3,1.325407862663269
0.8,0.5,1.3371657133102417
0.8,0.8,1.338244915008545
0.8,1.0,1.2735697031021118
1.0,0.1,1.3405104875564575
1.0,0.3,1.3347539901733398
1.0,0.5,1.335383653640747
1.0,0.8,1.3335124254226685
1.0,1.0,1.292309284210205
1.2,0.1,1.3399195671081543
1.2,0.3,1.33852219581604
1.2,0.5,1.3201329708099365
1.2,0.8,1.3059957027435303
1.2,1.0,1.3140485286712646
1.5,0.1,1.3049694299697876
1.5,0.3,1.297385573387146
1.5,0.5,1.2781215906143188
1.5,0.8,1.2761027812957764
1.5,1.0,1.2905634641647339
2.0,0.1,1.3502323627471924
2.0,0.3,1.3528064489364624
2.0,0.5,1.3318241834640503
2.0,0.8,1.3142383098602295
2.0,1.0,1.3030433654785156
